Category,Latitude,Longitude
naqu-bange,31.36,90.01
naqu-seni,31.48,92.05
naqu-nierong,32.12,92.30
naqu-anduo,32.27,91.68
naqu-shenzha,30.94,88.71
changdu-karuo,31.14,97.18
changdu-luolong,30.74,95.82
changdu-leiwuqi,31.21,96.60
changdu-jiangda,31.50,98.22
rikaze-xietongmen,29.43,88.26
rikaze-jiangzi,28.92,89.60
rikaze-kangma,28.56,89.68
rikaze-zhongba,29.66,84.19
shannan-cuona,27.99,91.96
ali-gaize,32.30,84.06
yushu-chengduo,33.37,97.11
yushu-zaduo,32.90,95.30
guoluo-maqin,34.48,100.24
guoluo-jiuzhi,33.43,101.48
haibei-gangcha,37.33,100.15
huangnan-zeku,35.04,101.47
ganzi-shiqu,32.98,98.10
ganzi-seda,32.27,100.33
aba-hongyuan,32.79,102.55
gannan-luqu,34.59,102.49
